symbol,exchange,price_limit_ratio,valid_from,valid_to,record_mode,source_id
SH.588000,SSE,0.20,2020-11-16,,CURRENT_SNAPSHOT_RULE_INFERENCE,SSE_CURRENT_20260804
SH.588010,SSE,0.20,2022-10-26,,CURRENT_SNAPSHOT_RULE_INFERENCE,SSE_CURRENT_20260804
SH.588020,SSE,0.20,2023-08-31,,CURRENT_SNAPSHOT_RULE_INFERENCE,SSE_CURRENT_20260804
SH.588030,SSE,0.20,2023-09-15,,CURRENT_SNAPSHOT_RULE_INFERENCE,SSE_CURRENT_20260804
SH.588040,SSE,0.20,2025-04-14,,CURRENT_SNAPSHOT_RULE_INFERENCE,SSE_CURRENT_20260804
SH.588050,SSE,0.20,2020-11-16,,CURRENT_SNAPSHOT_RULE_INFERENCE,SSE_CURRENT_20260804
SH.588060,SSE,0.20,2021-07-29,,CURRENT_SNAPSHOT_RULE_INFERENCE,SSE_CURRENT_20260804
SH.588070,SSE,0.20,2024-11-14,,CURRENT_SNAPSHOT_RULE_INFERENCE,SSE_CURRENT_20260804
SH.588080,SSE,0.20,2020-11-16,,CURRENT_SNAPSHOT_RULE_INFERENCE,SSE_CURRENT_20260804
SH.588090,SSE,0.20,2020-11-16,,CURRENT_SNAPSHOT_RULE_INFERENCE,SSE_CURRENT_20260804
